"LOCATION","Country","SEX","Sex","AGE","Age","TIME","Time","Value","Flag Codes","Flags"
"BEL","Belgium","T","Total","TOTAL","Total","2005","2005",10478617,,
"BEL","Belgium","T","Total","TOTAL","Total","2006","2006",10547956,,
"BEL","Belgium","T","Total","TOTAL","Total","2007","2007",10625701,,
"BEL","Belgium","T","Total","TOTAL","Total","2008","2008",10709976,,
"BEL","Belgium","T","Total","TOTAL","Total","2009","2009",10796498,,
"BEL","Belgium","T","Total","TOTAL","Total","2010","2010",10895589,,
"BEL","Belgium","T","Total","TOTAL","Total","2011","2011",10993616,,
"BEL","Belgium","T","Total","TOTAL","Total","2012","2012",11067748,,
"BEL","Belgium","T","Total","TOTAL","Total","2013","2013",11125033,,
"BEL","Belgium","T","Total","TOTAL","Total","2014","2014",11179778,,
"BEL","Belgium","T","Total","TOTAL","Total","2015","2015",11238474,,
"BEL","Belgium","T","Total","TOTAL","Total","2016","2016",11295003,,
"BEL","Belgium","T","Total","TOTAL","Total","2017","2017",11349081,,
"BEL","Belgium","T","Total","TOTAL","Total","2018","2018",11403740,,
"FRA","France","T","Total","TOTAL","Total","2005","2005",62958328,,
"FRA","France","T","Total","TOTAL","Total","2006","2006",63393406,,
"FRA","France","T","Total","TOTAL","Total","2007","2007",63781275,,
"FRA","France","T","Total","TOTAL","Total","2008","2008",64133174,,
"FRA","France","T","Total","TOTAL","Total","2009","2009",64458715,,
"FRA","France","T","Total","TOTAL","Total","2010","2010",64773169,,
"FRA","France","T","Total","TOTAL","Total","2011","2011",65087317,,
"FRA","France","T","Total","TOTAL","Total","2012","2012",65402998,,
"FRA","France","T","Total","TOTAL","Total","2013","2013",65735961,,
"FRA","France","T","Total","TOTAL","Total","2014","2014",66276671,,
"FRA","France","T","Total","TOTAL","Total","2015","2015",66512558,,
"FRA","France","T","Total","TOTAL","Total","2016","2016",66685530,,
"FRA","France","T","Total","TOTAL","Total","2017","2017",66829563,,
"FRA","France","T","Total","TOTAL","Total","2018","2018",66941698,,
"DEU","Germany","T","Total","TOTAL","Total","2005","2005",82469421,,
"DEU","Germany","T","Total","TOTAL","Total","2006","2006",82376447,,
"DEU","Germany","T","Total","TOTAL","Total","2007","2007",82266373,,
"DEU","Germany","T","Total","TOTAL","Total","2008","2008",82110097,,
"DEU","Germany","T","Total","TOTAL","Total","2009","2009",81902308,,
"DEU","Germany","T","Total","TOTAL","Total","2010","2010",81776936,,
"DEU","Germany","T","Total","TOTAL","Total","2011","2011",80274981,,
"DEU","Germany","T","Total","TOTAL","Total","2012","2012",80425826,,
"DEU","Germany","T","Total","TOTAL","Total","2013","2013",80645605,,
"DEU","Germany","T","Total","TOTAL","Total","2014","2014",80982495,,
"DEU","Germany","T","Total","TOTAL","Total","2015","2015",81686608,,
"DEU","Germany","T","Total","TOTAL","Total","2016","2016",82348669,,
"DEU","Germany","T","Total","TOTAL","Total","2017","2017",82656997,,
"DEU","Germany","T","Total","TOTAL","Total","2018","2018",82914191,,
"NLD","Netherlands","T","Total","TOTAL","Total","2005","2005",16319871,,
"NLD","Netherlands","T","Total","TOTAL","Total","2006","2006",16346096,,
"NLD","Netherlands","T","Total","TOTAL","Total","2007","2007",16381696,,
"NLD","Netherlands","T","Total","TOTAL","Total","2008","2008",16445590,,
"NLD","Netherlands","T","Total","TOTAL","Total","2009","2009",16530387,,
"NLD","Netherlands","T","Total","TOTAL","Total","2010","2010",16615390,,
"NLD","Netherlands","T","Total","TOTAL","Total","2011","2011",16693074,,
"NLD","Netherlands","T","Total","TOTAL","Total","2012","2012",16754963,,
"NLD","Netherlands","T","Total","TOTAL","Total","2013","2013",16804430,,
"NLD","Netherlands","T","Total","TOTAL","Total","2014","2014",16865008,,
"NLD","Netherlands","T","Total","TOTAL","Total","2015","2015",16939925,,
"NLD","Netherlands","T","Total","TOTAL","Total","2016","2016",17030314,,
"NLD","Netherlands","T","Total","TOTAL","Total","2017","2017",17131295,,
"NLD","Netherlands","T","Total","TOTAL","Total","2018","2018",17231622,,
"CHE","Switzerland","T","Total","TOTAL","Total","2005","2005",7437116,,
"CHE","Switzerland","T","Total","TOTAL","Total","2006","2006",7483935,,
"CHE","Switzerland","T","Total","TOTAL","Total","2007","2007",7551117,,
"CHE","Switzerland","T","Total","TOTAL","Total","2008","2008",7647676,,
"CHE","Switzerland","T","Total","TOTAL","Total","2009","2009",7743832,,
"CHE","Switzerland","T","Total","TOTAL","Total","2010","2010",7824910,,
"CHE","Switzerland","T","Total","TOTAL","Total","2011","2011",7912396,,
"CHE","Switzerland","T","Total","TOTAL","Total","2012","2012",7996861,,
"CHE","Switzerland","T","Total","TOTAL","Total","2013","2013",8089346,,
"CHE","Switzerland","T","Total","TOTAL","Total","2014","2014",8188646,,
"CHE","Switzerland","T","Total","TOTAL","Total","2015","2015",8282398,,
"CHE","Switzerland","T","Total","TOTAL","Total","2016","2016",8373334,,
"CHE","Switzerland","T","Total","TOTAL","Total","2017","2017",8451834,,
"CHE","Switzerland","T","Total","TOTAL","Total","2018","2018",8513227,,
